,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
1189,"['Jack Johnson', 'Jackson Browne']","[1416172, 130689]",0.47,0.434,0.36,137.336,-10.956,1,11,0.649,0.0,0.83,0.0315,0,237000,44,2012,1/1/2012,Island *****,Religious,16.0
1190,"['Jack Johnson', 'Ben Harper']","[1416172, 792733]",0.624,0.184,0.356,129.038,-13.105,1,7,0.915,1.38e-06,0.115,0.0327,0,178373,39,2006,2006,My Own Two *****,Religious,16.0
1191,"['Jack Johnson', 'Dave Matthews']","[1416172, 687561]",0.351,0.275,0.336,203.939,-14.341,1,7,0.733,5.01e-05,0.825,0.0356,0,232067,55,2012,1/1/2012,A Pirate Looks At Forty,Religious,16.0
1192,"['Jack Johnson', 'Matt Costa']","[1416172, 428329]",0.519,0.228,0.513,183.696,-12.377,1,1,0.87,0.0,0.144,0.0393,0,167253,44,2006,2006,Lullaby,Religious,16.0
1341,"['Fats Navarro', 'Ralph Burns']","[792175, 337015]",0.47,0.711,0.709,139.774,-11.233,0,0,0.977,0.947,0.592,0.19,0,450096,0,1947,10/17/1947,Sweet Georgia *****,Jazz,13.0
1342,"['Fats Navarro', 'Ralph Burns']","[792175, 337015]",0.479,0.436,0.713,91.1,-12.515,1,10,0.985,0.968,0.258,0.165,0,485111,0,1947,10/17/1947,High on an Open Mike,Jazz,13.0
1368,"['Blue October', 'Imogen Heap']","[762097, 94792]",0.536,0.43,0.108,112.934,-9.351,1,4,0.425,0.00272,0.0996,0.0283,0,241787,42,2006,1/1/2006,Congratulations,Pop/Rock,0.0
1420,"['Maxi Priest', 'Shaggy']","[866417, 156938]",0.68,0.685,0.619,138.716,-7.343,0,5,0.059,0.0,0.318,0.142,0,240893,41,1996,1/1/1996,That ****,Reggae,8.0
1421,"['Maxi Priest', 'Bobby Konders']","[866417, 767139]",0.697,0.527,0.867,173.211,-12.311,0,9,0.0106,0.0,0.0358,0.0752,0,217440,37,1991,1/1/1991,Just A Little Bit Longer - Radio Edit,Reggae,8.0
1430,"['Tito Puente', 'Celia Cruz']","[607283, 186312]",0.513,0.64,0.879,111.047,-12.855,0,11,0.681,0.0739,0.393,0.0426,0,358693,27,1991,1/1/1991,Celia Y ****,Latin,11.0
1431,"['Tito Puente', 'Celia Cruz']","[607283, 186312]",0.503,0.927,0.573,129.272,-5.582,1,0,0.395,0.000472,0.222,0.0557,0,164987,42,1966,12/31/1966,La Guarachera,Latin,11.0
1432,"['Tito Puente', 'Eddie Palmieri']","[607283, 172612]",0.568,0.757,0.745,76.169,-5.341,1,5,0.833,0.0488,0.713,0.0608,0,510400,34,1968,1/1/1968,"Son Cuero Y Boogaloo - Live At Red Garter / Greenwich Village, NY / ****",Latin,11.0
1433,"['Tito Puente', 'Eddie Palmieri']","[607283, 172612]",0.593,0.859,0.951,96.436,-5.159,1,0,0.306,0.339,0.79,0.0385,0,497080,28,1968,1/1/1968,Me Gusta El Son - Live,Latin,11.0
1434,"['Tito Puente', 'Eddie Palmieri']","[607283, 172612]",0.781,0.681,0.599,100.852,-5.868,1,7,0.498,0.619,0.303,0.0347,0,320000,28,1968,1/1/1968,Sabor Sabor - Live,Latin,11.0
1435,"['Tito Puente', 'Willie Colón']","[607283, 686577]",0.712,0.339,0.886,123.753,-15.237,1,7,0.651,0.000845,0.0829,0.051,0,181069,40,1983,1/1/1983,Oye Cómo Va,Latin,11.0
1669,"['Jack White', 'Alicia Keys']","[128873, 5307]",0.42,0.766,0.41,68.393,-4.231,0,4,0.0239,3.08e-05,0.11,0.179,0,262240,56,2007,11/9/2007,Another Way to Die,Pop/Rock,0.0
1775,"['Calle 13', 'Maria Rita']","[286439, 270243]",0.691,0.805,0.866,142.503,-6.81,0,2,0.59,0.0,0.0975,0.0947,0,301427,65,2010,11/19/2010,"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",Latin,11.0
1776,"['Calle 13', 'Rubén Blades']","[286439, 296024]",0.73,0.68,0.967,90.121,-7.779,0,7,0.694,0.0,0.208,0.317,1,415637,45,2008,7/21/2008,La Perla (feat. Rubén Blades & La Chilinga),Latin,11.0
1777,"['Calle 13', 'Silvio Rodríguez']","[286439, 37794]",0.582,0.443,0.452,78.071,-7.816,1,2,0.664,0.0,0.0703,0.0436,0,215813,68,2014,2/28/2014,Ojos Color Sol (feat. Silvio Rodríguez),Latin,11.0
1924,"['Tracy Lawrence', 'Tim McGraw', 'Kenny Chesney']","[746387, 592954, 68551]",0.524,0.797,0.783,159.859,-4.777,1,2,0.209,0.0,0.286,0.0329,0,227840,58,2007,1/30/2007,Find out Who Your Friends Are,Country,1.0
2045,"['Sheryl Crow', 'Dixie Chicks']","[80780, 162487]",0.276,0.506,0.383,148.24,-8.382,1,2,0.295,8.43e-05,0.977,0.0288,0,216493,42,1999,1/1/1999,Strong Enough - Live,Pop/Rock,0.0
2151,"['Jackie Gleason', 'Jerry Reed']","[781399, 334644]",0.512,0.907,0.315,85.615,-7.804,1,6,0.164,0.00487,0.801,0.662,0,56253,27,1977,1/1/1977,"Incidental CB Dialogue - Bandit, Smokey & Snowman",Easy Listening,5.0
2282,"['Ariana Grande', 'Cashmere Cat']","[2264745, 3068662]",0.622,0.586,0.434,145.08,-6.241,0,3,0.0735,7.41e-06,0.0803,0.0356,0,217053,58,2014,8/25/2014,Be My Baby,Pop/Rock,0.0
2283,"['Ariana Grande', 'Childish Gambino']","[2264745, 2487188]",0.726,0.605,0.588,93.93,-5.673,1,6,0.0113,0.0,0.0639,0.0628,0,253387,59,2014,8/25/2014,Break Your Heart Right Back,Pop/Rock,0.0
2284,"['Ariana Grande', 'John Legend']","[2264745, 814387]",0.489,0.54,0.27,81.4,-7.046,1,6,0.126,0.0,0.103,0.0288,0,227928,67,2017,3/10/2017,Beauty and the Beast,Pop/Rock,0.0
2285,"['Ariana Grande', 'Justin Bieber']","[2264745, 2165952]",0.597,0.45,0.537,178.765,-6.658,1,8,0.223,0.0,0.382,0.0418,0,228482,94,2020,5/8/2020,Stuck with U (with Justin Bieber),Pop/Rock,0.0
2286,"['Ariana Grande', 'Macy Gray']","[2264745, 232869]",0.445,0.446,0.389,90.927,-7.468,0,8,0.599,2.21e-05,0.339,0.0312,0,229680,62,2016,5/20/2016,Leave Me Lonely,Pop/Rock,0.0
2287,"['Ariana Grande', 'Miley Cyrus', 'Lana Del Rey']","[2264745, 551762, 2784799]",0.644,0.755,0.334,102.861,-5.325,1,1,0.00237,7.64e-06,0.0859,0.0448,0,190067,77,2019,11/1/2019,Don’t **** Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Pop/Rock,0.0
2288,"['Ariana Grande', 'The Weeknd']","[2264745, 2674162]",0.472,0.714,0.24,98.992,-4.389,0,1,0.00937,0.0,0.0764,0.0334,0,236133,74,2014,8/25/2014,Love Me Harder,Pop/Rock,0.0
2289,"['Ariana Grande', 'Zedd']","[2264745, 2782403]",0.687,0.702,0.284,129.956,-5.324,0,7,0.0064,4.35e-05,0.204,0.0455,0,214840,74,2014,8/25/2014,Break Free,Pop/Rock,0.0
2363,"['Morgan Heritage', 'Capleton', 'Jah Cure', 'Bushman']","[500298, 540010, 116465, 642354]",0.622,0.467,0.778,137.722,-11.454,0,10,0.121,0.0,0.153,0.295,0,357027,53,2000,2000,"Mount Zion Medley (ft. Capleton, Jah Cure, LMS, Ras Shiloh, Bushman)",Reggae,8.0
2421,"['Jackie McLean', 'Herbie Hancock']","[127949, 957296]",0.571,0.293,0.23,82.745,-11.914,0,0,0.828,0.179,0.112,0.0385,0,480000,44,2000,1/1/2000,Yams,Jazz,13.0
2465,"['Cowboy Troy', 'Big & Rich']","[76788, 762821]",0.709,0.948,0.679,128.051,-3.388,0,11,0.0728,0.0,0.214,0.0992,0,196812,43,2005,5/17/2005,I Play Chicken with the Train (with Big & Rich),Country,1.0
2597,"['Massive Attack', 'Tracey Thorn']","[378288, 9218]",0.577,0.421,0.737,168.009,-13.142,1,4,0.0162,0.124,0.0722,0.0489,0,471560,58,1994,9/26/1994,Protection,Electronic,3.0
2655,"['Shooter Jennings', 'George Jones']","[36312, 944310]",0.476,0.872,0.623,132.899,-5.292,1,9,0.0104,0.0,0.637,0.0455,0,265413,56,2005,3/1/2005,4th Of July / He Stopped Loving Her Today - Medley,Country,1.0
2709,"['Methods of Mayhem', 'George Clinton']","[448152, 533117]",0.78,0.919,0.902,100.006,-4.751,1,9,0.0389,1.77e-05,0.025,0.156,1,201667,40,1999,5/2/1999,Get ****,Pop/Rock,0.0
2728,"['Wolfgang Amadeus Mozart', 'Benjamin Britten']","[26350, 796872]",0.155,0.0348,0.0699,76.467,-24.939,1,10,0.985,0.892,0.109,0.0364,0,601627,24,1982,1/1/1982,"Piano Concerto ***** in D minor, K.466: ** Romance",Classical,2.0
2729,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.422,0.199,0.391,101.623,-13.74,1,3,0.951,0.0,0.088,0.0514,0,169973,0,1942,1942,"Non so più from Le nozze di Figaro, K. *** [Act I]",Classical,2.0
2730,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.36,0.129,0.287,106.867,-15.844,1,10,0.967,8.66e-06,0.116,0.0386,0,185267,1,1942,1942,"Voi che sapete from Le nozze di Figaro (The Marriage of Figaro), K. *** (Act II)",Classical,2.0
2731,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.457,0.149,0.296,68.434,-13.532,1,0,0.982,3.9e-05,0.118,0.0619,0,269267,0,1942,1942,"Batti, batti from Il dissoluto punito, ossia Il Don Giovanni, K. *** (Act I)",Classical,2.0
2732,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.324,0.118,0.169,124.05,-19.759,1,5,0.975,0.000254,0.23,0.0485,0,305760,0,1942,1942,"Deh vieni, non ****** from Le nozze di Figaro, K. *** (Act IV)",Classical,2.0
2733,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.27,0.138,0.117,88.066,-13.577,1,0,0.979,0.000768,0.17,0.0423,0,228400,0,1942,1942,"Vedrai, carino from Il dissoluto punito, ossia Il Don Giovanni, K. *** (Act II)",Classical,2.0
2734,"['Wolfgang Amadeus Mozart', 'Bidu Sayão']","[26350, 1950198]",0.235,0.154,0.0642,100.332,-16.501,1,3,0.963,0.0821,0.137,0.0451,0,257133,0,1942,1942,"Porgi, amor from Le nozze di Figaro, K. *** (Act II)",Classical,2.0
2735,"['Wolfgang Amadeus Mozart', 'Cecilia Bartoli']","[26350, 641626]",0.358,0.0851,0.205,118.578,-19.924,1,10,0.982,0.000367,0.112,0.0532,0,170000,40,1991,1/1/1991,"Le nozze di Figaro, ***** - Original version, Vienna **** / Act ** ""Voi che sapete""",Classical,2.0
2736,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.43,0.0156,0.195,125.011,-37.055,1,5,0.988,0.875,0.0777,0.0517,0,331507,16,1958,1958,"Piano Sonata No. * in C Major, K. **** II. Andante",Classical,2.0
2737,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.344,0.27,0.892,90.784,-23.546,1,0,0.974,0.888,0.237,0.0389,0,108373,15,1958,1958,"Piano Sonata No. * in C Major, K. **** III. Allegro",Classical,2.0
2738,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.364,0.238,0.714,104.583,-19.921,1,10,0.978,0.892,0.112,0.0371,0,222653,14,1958,1958,"Piano Sonata No. 3 in B-Flat Major, K. **** III. Allegro",Classical,2.0
2739,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.444,0.0211,0.503,110.205,-32.808,1,3,0.99,0.865,0.114,0.0519,0,275240,14,1958,1958,"Piano Sonata No. 3 in B-Flat Major, K. **** II. Andante amoroso",Classical,2.0
2740,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.27,0.2,0.792,157.19,-21.695,1,10,0.978,0.903,0.106,0.0361,0,173760,14,1958,1958,"Piano Sonata No. 3 in B-Flat Major, K. **** I. Allegro",Classical,2.0
2741,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.322,0.128,0.752,104.335,-27.067,1,5,0.976,0.924,0.0889,0.0378,0,195787,15,1958,1958,"Piano Sonata No. * in F Major, K. **** I. Allegro *****",Classical,2.0
2742,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.416,0.0102,0.212,75.003,-33.82,0,5,0.991,0.879,0.0962,0.0667,0,310267,15,1958,1958,"Piano Sonata No. * in F Major, K. **** II. Adagio",Classical,2.0
2743,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.446,0.122,0.738,105.051,-25.307,1,5,0.982,0.904,0.101,0.0357,0,110333,14,1958,1958,"Piano Sonata No. * in F Major, K. **** III. Presto",Classical,2.0
2744,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.392,0.263,0.84,86.526,-22.045,1,3,0.974,0.845,0.152,0.038,0,72693,13,1958,1958,"Piano Sonata No. 4 in E-Flat Major, K. **** III. Allegro",Classical,2.0
2745,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.295,0.115,0.429,90.296,-23.416,1,2,0.98,0.897,0.132,0.0413,0,926413,13,1958,1958,"Piano Sonata No. 6 in D Major, K. **** III. Theme and Variations",Classical,2.0
2746,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.314,0.243,0.891,169.023,-20.657,1,7,0.98,0.921,0.135,0.0379,0,134813,14,1958,1958,"Piano Sonata No. 5 in G Major, K. **** I. Allegro",Classical,2.0
2747,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.315,0.0821,0.591,122.016,-29.865,1,3,0.987,0.917,0.0742,0.0461,0,161200,14,1958,1958,"Piano Sonata No. 4 in E-Flat Major, K. **** I. Adagio",Classical,2.0
2748,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.412,0.119,0.608,88.466,-26.248,1,0,0.986,0.849,0.114,0.0462,0,222507,13,1958,1958,"Piano Sonata No. 7 in C Major, K. 309: I. Allegro con spirito",Classical,2.0
2749,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.34,0.0833,0.681,124.331,-30.789,1,0,0.989,0.911,0.101,0.0457,0,160680,13,1958,1958,"Piano Sonata No. 5 in G Major, K. **** II. Andante",Classical,2.0
2750,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.352,0.25,0.756,112.332,-20.595,1,7,0.981,0.905,0.121,0.0386,0,157013,13,1958,1958,"Piano Sonata No. 5 in G Major, K. **** III. Presto",Classical,2.0
2751,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.347,0.165,0.883,93.166,-27.889,1,0,0.963,0.909,0.126,0.0381,0,200880,13,1958,1958,"Piano Sonata No. **** C Major, K. 330: I. Allegro moderato",Classical,2.0
2752,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.276,0.239,0.819,170.256,-20.512,1,2,0.968,0.935,0.151,0.036,0,183867,13,1958,1958,"Piano Sonata No. 6 in D Major, K. **** I. Allegro",Classical,2.0
2753,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.346,0.0784,0.8,92.11,-28.08,1,9,0.984,0.904,0.108,0.0465,0,184920,13,1958,1958,"Piano Sonata No. 6 in D Major, K. **** II. Rondeau en polonaise",Classical,2.0
2754,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.417,0.1,0.35,99.878,-23.659,1,9,0.991,0.879,0.118,0.0601,0,480920,14,1958,1958,"Piano Sonata No. ** in A Major, K. **** I. Tema con variazione. Andante grazioso",Classical,2.0
2755,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.335,0.103,0.767,91.235,-26.771,1,0,0.987,0.913,0.0971,0.0404,0,335413,12,1958,1958,"Piano Sonata No. 7 in C Major, K. 309: III. Rondeau. Allegretto grazioso",Classical,2.0
2756,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.442,0.079,0.579,132.339,-26.417,1,10,0.989,0.879,0.0838,0.0515,0,212293,13,1958,1958,"Piano Sonata No. 4 in E-Flat Major, K. **** II. Menuettos I & II",Classical,2.0
2757,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.367,0.185,0.877,101.32,-23.533,1,0,0.966,0.911,0.108,0.0374,0,209053,12,1958,1958,"Piano Sonata No. **** C Major, K. 330: III. Allegretto",Classical,2.0
2758,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.314,0.017,0.249,78.104,-33.499,1,5,0.985,0.905,0.104,0.0609,0,388227,12,1958,1958,"Piano Sonata No. 7 in C Major, K. 309: II. Andante un poco adagio",Classical,2.0
2759,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.433,0.0418,0.309,129.016,-26.821,1,10,0.99,0.894,0.109,0.047,0,303013,12,1958,1958,"Piano Sonata No. ** in F Major, K. **** II. Adagio",Classical,2.0
2760,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.359,0.0173,0.557,83.348,-33.969,1,7,0.989,0.927,0.112,0.0427,0,264667,11,1958,1958,"Piano Sonata No. 9 in D Major, K. **** II. Andante con espressione",Classical,2.0
2761,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.305,0.17,0.919,81.325,-23.453,1,0,0.96,0.916,0.181,0.0347,0,111093,12,1958,1958,"Piano Sonata No. ** in C Major, K. 545 ""Facile"": I. Allegro",Classical,2.0
2762,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.368,0.0415,0.327,139.225,-34.861,1,5,0.979,0.908,0.079,0.0409,0,272533,12,1958,1958,"Piano Sonata No. **** C Major, K. 330: II. Andante cantabile",Classical,2.0
2763,"['Wolfgang Amadeus Mozart', 'Glenn Gould']","[26350, 803752]",0.28,0.181,0.85,89.097,-24.571,1,2,0.978,0.941,0.134,0.036,0,158547,12,1958,1958,"Piano Sonata No. 9 in D Major, K. **** I. Allegro con spirito",Classical,2.0
