,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,genre_id
72010,['Richard Lewis'],[347886],0.206,0.0281,0.147,170.607,-25.34,1,7,0.995,0.0117,0.0656,0.0416,0,148133,0,1928,1928,My Lovely Celia,Unknown,17.0
18294,['Candido'],[543045],0.633,0.85,0.843,121.439,-11.313,1,2,0.00763,0.776,0.301,0.0405,0,593027,44,1979,1/1/1979,Jingo - *** Version,Unknown,17.0
46076,['John Williams'],[1535255],0.212,0.237,0.0393,138.904,-16.59,1,2,0.776,0.879,0.0998,0.0423,0,186627,40,1980,1/1/1980,Departure of Boba Fett,Unknown,17.0
46039,['John Williams'],[1535255],0.484,0.0146,0.438,67.725,-28.315,0,7,0.959,0.3,0.088,0.0383,0,119467,44,2004,5/25/2004,Hagrid the Professor,Unknown,17.0
95310,['Vladimir Horowitz'],[119107],0.289,0.0169,0.208,73.601,-29.586,0,4,0.994,0.889,0.101,0.04,0,85493,0,1928,1928,"Kinderszenen, Op. *** XII. Kind im Einschlummern",Unknown,17.0
66907,['Paul Horn'],[100426],0.273,0.0128,0.0365,63.885,-32.233,1,2,0.991,0.771,0.0749,0.0451,0,339960,31,1968,9/13/1968,Seah Jahan,Unknown,17.0
52159,['Lea Salonga'],[788283],0.385,0.412,0.422,126.102,-9.405,1,7,0.73,5e-05,0.0977,0.0394,0,146907,48,2004,1/1/2004,"Lesson Number One - From ""Mulan II"" / Soundtrack Version",Unknown,17.0
50855,['Kostas'],[102176],0.516,0.459,0.792,110.713,-10.358,1,7,0.984,0.856,0.224,0.0372,0,168773,0,1940,1/1/1940,Agginara me t'agkathia,Unknown,17.0
95111,['Vladimir Horowitz'],[119107],0.355,0.0452,0.276,84.551,-24.125,1,1,0.985,0.825,0.153,0.0329,0,138013,2,1928,1928,"Mazurka in F Minor, Op. 7, No. 3",Unknown,17.0
95468,['Vladimir Horowitz'],[119107],0.487,0.165,0.151,82.074,-17.913,0,1,0.995,0.903,0.115,0.0478,0,99360,6,1951,1951,"Prelude, Op. 59, No. ** ******** belliqueux - Remastered",Unknown,17.0
95340,['Vladimir Horowitz'],[119107],0.303,0.0529,0.0592,75.747,-25.1,0,10,0.993,0.894,0.119,0.0406,0,635040,0,1928,1928,"Ballade No. 4 in F Minor, Op. **",Unknown,17.0
37709,['Grandpa Jones'],[660246],0.792,0.475,0.836,126.899,-10.057,1,9,0.682,0.00013,0.0977,0.0421,0,113533,33,1992,1/1/1992,Old Towzer,Unknown,17.0
87302,['The McGuire Sisters'],[397412],0.309,0.253,0.294,80.504,-11.448,1,8,0.791,0.0,0.279,0.0301,0,174067,8,1957,1/1/1957,I'm In The Mood For Love,Unknown,17.0
95126,['Vladimir Horowitz'],[119107],0.409,0.0224,0.0655,126.458,-18.234,1,1,0.993,0.908,0.13,0.0441,0,318267,1,1928,1928,"Nocturne in C-Sharp Minor, Op. *** No. * - **** Remastered",Unknown,17.0
91222,['The Wonder Stuff'],[487219],0.51,0.882,0.925,149.128,-6.952,1,2,0.0266,0.00212,0.0533,0.0317,0,192333,47,1991,1991,The Size Of A ***,Unknown,17.0
84296,['The Chiffons'],[58035],0.251,0.868,0.599,177.13,-2.685,1,1,0.488,7.34e-06,0.814,0.128,0,128200,62,2004,10/2/2004,One Fine Day,Unknown,17.0
95373,['Vladimir Horowitz'],[119107],0.523,0.2,0.501,110.254,-19.334,1,3,0.992,0.856,0.238,0.0379,0,230067,0,1928,1928,The Stars and ******* Forever,Unknown,17.0
87309,['The McGuire Sisters'],[397412],0.801,0.298,0.497,111.852,-11.248,1,10,0.724,0.0,0.051,0.0336,0,153800,15,1956,1/1/1956,Tip Toe Through The Tulips With Me,Unknown,17.0
95682,['Vladimir Horowitz'],[119107],0.566,0.00164,0.166,82.699,-34.264,1,11,0.993,0.983,0.0861,0.056,0,66640,0,1928,1928,Preludes: Op. *** No. 4 in E-Flat Minor,Unknown,17.0
95335,['Vladimir Horowitz'],[119107],0.411,0.0228,0.212,87.272,-25.675,1,11,0.995,0.936,0.109,0.0511,0,99667,0,1928,1928,"Kinderszenen, Op. *** X. Fast zu ernst",Unknown,17.0
64880,['Oasis'],[1426593],0.263,0.921,0.072,108.954,-3.115,0,0,0.162,0.013,0.285,0.0896,0,327839,45,1995,10/2/1995,**** Might Say - Remastered,Unknown,17.0
95623,['Vladimir Horowitz'],[119107],0.382,0.0376,0.261,74.716,-22.812,1,1,0.989,0.793,0.111,0.0394,0,172773,0,1928,1928,Allegro non troppo,Unknown,17.0
38184,['Gregg Allman'],[801101],0.567,0.439,0.403,86.812,-11.516,1,0,0.491,0.203,0.123,0.0232,0,267363,51,1973,10/1/1973,******** Rider,Unknown,17.0
64896,['Oasis'],[1426593],0.311,0.796,0.0475,100.132,-6.156,1,7,2.4e-06,0.661,0.378,0.048,0,377401,38,1994,8/29/1994,Columbia - Remastered,Unknown,17.0
8969,['Art Blakey & the Jazz Messengers'],[597266],0.559,0.389,0.753,92.886,-12.073,1,8,0.701,0.00397,0.221,0.0466,0,401027,13,1956,1956,The End of a Love Affair,Unknown,17.0
95696,['Vladimir Horowitz'],[119107],0.323,0.29,0.361,72.184,-21.648,1,8,0.988,0.862,0.719,0.0752,0,91440,1,1945,1945,"Étude in A-flat Major, Op. *** No. **",Unknown,17.0
95207,['Vladimir Horowitz'],[119107],0.266,0.0111,0.052,107.679,-31.392,1,8,0.981,0.93,0.0925,0.0371,0,144600,20,1963,1963,"Étude in A-Flat Major, Op. *** No. * ""Aeolian Harp""",Unknown,17.0
95826,['Walter Wanderley'],[230478],0.636,0.678,0.79,100.616,-10.278,1,10,0.213,0.000274,0.12,0.0937,0,135792,23,1964,1/6/1964,Telefone,Unknown,17.0
85868,['The Four Lads'],[71508],0.515,0.362,0.89,161.334,-10.843,1,1,0.846,3.66e-05,0.268,0.0324,0,139933,32,1953,1953,Istanbul (Not Constantinople),Unknown,17.0
95539,['Vladimir Horowitz'],[119107],0.309,0.236,0.0967,106.224,-16.379,1,10,0.986,0.874,0.144,0.0345,0,975693,0,1928,1928,"Piano Concerto No. * in B-Flat Major, Op. 83: I. Allegro non troppo",Unknown,17.0
84283,['The Chenille Sisters'],[762724],0.654,0.326,0.675,79.84,-11.12,1,0,0.763,0.0,0.0366,0.0706,0,206693,0,1924,1924,Bob White,Unknown,17.0
51128,['La Mafia'],[120370],0.827,0.322,0.796,75.733,-15.338,0,7,0.0724,0.0,0.0694,0.103,0,237173,34,1992,1992,Qué Haré Yo,Unknown,17.0
95443,['Vladimir Horowitz'],[119107],0.377,0.21,0.102,96.24,-19.139,1,10,0.968,0.921,0.689,0.0366,0,891373,0,1928,1928,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",Unknown,17.0
74633,['Saosin'],[834292],0.282,0.977,0.337,183.916,-3.723,0,2,4.86e-05,0.00921,0.344,0.0715,0,171828,42,2006,1/1/2006,Sleepers,Unknown,17.0
2004,['Nobuo Uematsu'],[431669],0.0866,0.129,0.0385,78.835,-13.77,1,7,0.951,0.768,0.0764,0.0373,0,348013,47,2007,12/4/2007,Aerith's Theme (Final Fantasy VII),Unknown,17.0
46017,['John Williams'],[1535255],0.504,0.197,0.486,155.864,-21.207,1,7,0.9,0.913,0.324,0.0436,0,135360,44,2004,5/25/2004,Aunt Marge's Waltz,Unknown,17.0
45904,['John Williams'],[1535255],0.274,0.242,0.0393,87.098,-17.854,1,8,0.781,0.874,0.0999,0.0461,0,311293,44,1999,5/4/1999,The Droid Invasion and the Appearance of Darth Maul,Unknown,17.0
95320,['Vladimir Horowitz'],[119107],0.365,0.159,0.0398,111.585,-20.556,0,7,0.987,0.915,0.374,0.0445,0,546644,3,1946,1946,"Ballade No. * in G Minor, Op. **",Unknown,17.0
95593,['Vladimir Horowitz'],[119107],0.434,0.228,0.098,105.336,-17.277,1,3,0.992,0.859,0.746,0.0354,0,372027,0,1928,1928,"Piano Sonata No. * in B-Flat Minor, Op. 36: III. L'istesso tempo - Allegro molto",Unknown,17.0
84287,['The Chenille Sisters'],[762724],0.731,0.386,0.719,126.444,-11.018,1,0,0.765,0.126,0.274,0.0331,0,240693,0,1924,1924,"Tell Me, Tell Me, Baby",Unknown,17.0
95223,['Vladimir Horowitz'],[119107],0.255,0.181,0.194,79.928,-21.649,1,0,0.981,0.932,0.087,0.0383,0,627040,16,1964,1964,"Piano Sonata No. ** in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Unknown,17.0
52153,['Lea Salonga'],[788283],0.283,0.227,0.128,121.419,-15.793,1,0,0.846,2.08e-06,0.1,0.0366,0,160800,67,2004,1/1/2004,"A Whole New World - From ""Aladdin"" / Soundtrack Version",Unknown,17.0
10918,['Bebe Rexha'],[2992951],0.474,0.537,0.335,90.103,-6.77,1,2,0.0758,0.0,0.316,0.0649,1,207775,68,2014,12/19/2014,I'm Gonna Show You Crazy,Unknown,17.0
1805,['Glass Animals'],[2984484],0.639,0.347,0.247,72.978,-12.322,0,1,0.406,0.000268,0.215,0.0421,0,254640,59,2014,6/3/2014,Toes,Unknown,17.0
45963,['John Williams'],[1535255],0.286,0.315,0.181,163.825,-15.205,1,0,0.97,0.907,0.122,0.0504,0,141467,26,1981,1/1/1981,Flight from Peru,Unknown,17.0
86203,['The Imperials'],[81919],0.512,0.193,0.243,126.048,-18.451,1,8,0.657,0.00745,0.132,0.0335,0,279840,24,1979,1979,One More Song for You,Unknown,17.0
95533,['Vladimir Horowitz'],[119107],0.285,0.0678,0.117,77.755,-24.257,1,3,0.989,0.931,0.104,0.0445,0,277427,0,1928,1928,"Nocturnes, Op. 9, No. * in E-Flat Major",Unknown,17.0
22289,['Creed'],[1059293],0.347,0.576,0.139,137.622,-4.701,1,7,0.00645,0.0,0.342,0.0322,0,272867,59,2001,1/1/2001,Don't Stop Dancing,Unknown,17.0
22263,['Creed'],[1059293],0.38,0.722,0.17,130.009,-5.766,1,2,0.00884,0.00163,0.221,0.0356,0,239373,45,2004,1/1/2004,One Last Breath,Unknown,17.0
80028,['Sweethearts of the Rodeo'],[48168],0.728,0.719,0.945,80.973,-9.599,1,5,0.0878,0.0,0.186,0.0292,0,167173,28,1986,6/19/1986,Since I Found You,Unknown,17.0
46072,['John Williams'],[1535255],0.271,0.0329,0.054,118.569,-24.583,1,1,0.817,0.871,0.0775,0.0372,0,172320,39,1977,1/1/1977,The Desert and the Robot Auction,Unknown,17.0
46128,['John Williams'],[1535255],0.575,0.179,0.352,81.941,-13.924,1,7,0.874,0.804,0.353,0.0419,0,109227,33,1971,8/24/1971,Finale,Unknown,17.0
2026,['Nobuo Uematsu'],[431669],0.318,0.638,0.537,178.262,-11.898,1,5,0.129,0.0057,0.172,0.0353,0,152773,43,1997,2/10/1997,JENOVA,Unknown,17.0
1808,['Glass Animals'],[2984484],0.575,0.446,0.259,68.985,-7.802,0,4,0.247,0.00567,0.137,0.0296,0,262540,61,2016,8/26/2016,Poplar St,Unknown,17.0
82506,['The Astronauts'],[753852],0.42,0.782,0.884,158.227,-10.533,1,2,0.0958,0.856,0.121,0.0335,0,134893,19,1964,1/20/1964,The ******,Unknown,17.0
95437,['Vladimir Horowitz'],[119107],0.285,0.0892,0.589,66.789,-28.054,0,6,0.992,0.874,0.122,0.0358,0,44040,0,1928,1928,Preludes: Op. *** No. * in F-Sharp Minor,Unknown,17.0
8971,['Art Blakey & the Jazz Messengers'],[597266],0.494,0.503,0.709,116.167,-12.702,0,7,0.786,0.00197,0.14,0.0393,0,333360,12,1956,1956,Carol's Interlude,Unknown,17.0
83782,['The Bolshoi'],[936195],0.605,0.908,0.507,148.962,-7.484,0,9,0.129,0.0148,0.0464,0.0466,0,395333,49,1986,1986,Sunday Morning,Unknown,17.0
52874,['Leo Dan'],[817911],0.768,0.318,0.737,116.606,-17.615,0,4,0.71,5.11e-05,0.145,0.256,0,170800,39,1981,1981,Pregunto Si Me Amas,Unknown,17.0
45943,['John Williams'],[1535255],0.133,0.187,0.0552,73.394,-19.716,1,0,0.916,0.889,0.142,0.0375,0,211880,46,2002,11/11/2002,Prologue: Book II and the Escape from the Dursleys,Unknown,17.0
45965,['John Williams'],[1535255],0.172,0.139,0.0326,68.152,-18.963,1,8,0.89,0.877,0.0841,0.0427,0,234120,26,1981,1/1/1981,The Idol Temple,Unknown,17.0
53513,['Leontyne Price'],[591857],0.49,0.224,0.718,146.502,-19.291,1,5,0.987,0.0795,0.181,0.0626,0,36907,2,1951,1951,"Hermit Songs, Op. *** No. 6, Sea-**** - Vocal",Unknown,17.0
95655,['Vladimir Horowitz'],[119107],0.257,0.424,0.228,80.309,-13.745,1,9,0.987,0.827,0.202,0.0334,0,312733,0,1928,1928,"No. ** in A Minor, S. ****** (Rakóczy March)",Unknown,17.0
51121,['La Mafia'],[120370],0.775,0.381,0.496,141.512,-11.317,1,7,0.114,0.0,0.495,0.0388,0,232267,36,1992,1992,El Amor,Unknown,17.0
45938,['John Williams'],[1535255],0.234,0.139,0.12,102.682,-16.854,0,9,0.975,0.889,0.0814,0.0342,0,191067,57,2015,12/18/2015,Rey's Theme,Unknown,17.0
63773,['New Order'],[1168958],0.704,0.895,0.869,118.662,-7.81,1,10,0.00428,0.28,0.267,0.0647,0,405560,47,1986,9/29/1986,Bizarre Love Triangle - **** Pettibone *** Remix,Unknown,17.0
46037,['John Williams'],[1535255],0.165,0.289,0.0705,87.248,-16.771,1,7,0.853,0.739,0.128,0.0402,0,272867,42,2002,11/11/2002,The Spiders,Unknown,17.0
45978,['John Williams'],[1535255],0.23,0.424,0.388,81.198,-14.937,1,7,0.686,0.927,0.206,0.0471,0,215667,2,1945,1945,Summon the Heroes - Radio Edit,Unknown,17.0
7524,['American Football'],[11156],0.378,0.585,0.274,129.906,-7.766,1,2,0.00232,0.28,0.11,0.0296,0,370507,47,1999,1999,Honestly?,Unknown,17.0
95640,['Vladimir Horowitz'],[119107],0.256,0.118,0.123,79.325,-20.179,1,11,0.978,0.887,0.0533,0.0405,0,515253,0,1928,1928,"Scherzo No. * in B Minor, Op. **",Unknown,17.0
67829,['Pete Fountain'],[312140],0.605,0.667,0.824,97.143,-13.674,1,10,0.739,0.533,0.195,0.0538,0,156973,10,1961,1/1/1961,Over The Waves,Unknown,17.0
45921,['John Williams'],[1535255],0.164,0.0634,0.0363,168.214,-24.086,1,9,0.847,0.949,0.0927,0.055,0,206507,46,2000,1/1/2000,"Main ***** And First Victim - From ""Jaws"" Soundtrack",Unknown,17.0
95651,['Vladimir Horowitz'],[119107],0.299,0.0233,0.0807,90.838,-26.707,0,1,0.992,0.895,0.103,0.0427,0,338000,0,1928,1928,"Étude in C-Sharp Minor, Op. *** No. 7",Unknown,17.0
33764,['Francis Lai'],[188981],0.441,0.84,0.45,114.857,-7.534,1,5,0.452,0.79,0.157,0.117,0,154187,25,1966,1966,Aujourd'hui c'est toi - ************,Unknown,17.0
43913,['Jimmy Dean'],[352992],0.685,0.492,0.932,115.532,-12.676,1,2,0.71,0.0,0.287,0.0475,0,168667,28,1961,1/1/1961,I Won't Go Huntin' with You Jake (But I'll Go Chasin' Wimmin),Unknown,17.0
95246,['Vladimir Horowitz'],[119107],0.294,0.00684,0.055,49.792,-29.3,1,4,0.993,0.939,0.0616,0.047,0,210827,30,1930,1930,"Consolation No. * in E Major, S. *****",Unknown,17.0
80009,['Sweet Sensation'],[48507],0.691,0.782,0.916,111.665,-10.412,1,7,0.0118,0.112,0.0491,0.0455,0,291733,38,1988,5/24/1988,Sincerely Yours,Unknown,17.0
53529,['Leontyne Price'],[591857],0.265,0.147,0.0391,76.331,-20.715,1,8,0.988,0.0148,0.433,0.0451,0,285733,25,1963,1/1/1963,"Tosca / Act ** ""Vissi d'arte, vissi d'amore""",Unknown,17.0
95183,['Vladimir Horowitz'],[119107],0.471,0.0088,0.039,39.875,-32.859,0,4,0.996,0.904,0.0805,0.0438,0,104080,5,1951,1951,"Prelude, Op. 67, No. ** Andante - Remastered",Unknown,17.0
95224,['Vladimir Horowitz'],[119107],0.401,0.0529,0.164,100.707,-24.543,0,1,0.994,0.85,0.709,0.0406,0,190933,1,1945,1945,"Étude in C-Sharp Minor, Op. ** No. *",Unknown,17.0
76512,['Sleeping with Sirens'],[2397840],0.417,0.99,0.413,175.977,-3.203,1,1,0.000188,0.0,0.115,0.208,0,203093,55,2011,5/10/2011,Do It Now Remember It Later,Unknown,17.0
95387,['Vladimir Horowitz'],[119107],0.374,0.0337,0.279,62.233,-22.273,1,7,0.994,0.903,0.116,0.0417,0,97040,0,1928,1928,"Kinderszenen, Op. *** XI. Fürchtenmachen",Unknown,17.0
95818,['Walter Wanderley'],[230478],0.805,0.592,0.788,136.959,-9.938,0,2,0.448,0.00536,0.126,0.0311,0,184227,29,1966,1966,The Great Love,Unknown,17.0
80077,['Sy Oliver'],[41702],0.41,0.228,0.342,85.24,-9.717,1,11,0.828,1.1e-05,0.127,0.0292,0,172459,0,1953,8/1/1953,I'm Walking Behind You,Unknown,17.0
76505,['Sleeping with Sirens'],[2397840],0.466,0.929,0.408,171.948,-3.9,1,10,0.000446,0.0,0.0656,0.0575,0,257413,47,2011,5/10/2011,Who Are You Now,Unknown,17.0
45992,['John Williams'],[1535255],0.222,0.292,0.145,85.404,-15.349,1,5,0.865,0.899,0.132,0.0342,0,351120,4,1956,1956,"Main Theme from ""Star Wars""",Unknown,17.0
95814,['Walter Wanderley'],[230478],0.692,0.818,0.598,96.165,-3.891,0,2,0.0615,0.753,0.0867,0.038,0,157560,24,1962,3/23/1962,Murmurio,Unknown,17.0
2010,['Nobuo Uematsu'],[431669],0.605,0.837,0.931,100.135,-19.112,1,5,0.609,0.849,0.181,0.106,0,52467,32,1987,1987,Prelude,Unknown,17.0
95267,['Vladimir Horowitz'],[119107],0.212,0.0768,0.0654,70.659,-24.628,1,8,0.991,0.817,0.11,0.0403,0,233067,10,1930,1930,"Années de pèlerinage, Première année (Suisse), S. **** No. 5, Au bord d'une source",Unknown,17.0
557,"[""Sergio Mendes & Brasil '66""]",[5056],0.604,0.484,0.966,138.256,-17.258,1,10,0.0796,3.66e-06,0.143,0.0277,0,188600,31,1970,1/1/1970,Day Tripper,Unknown,17.0
95501,['Vladimir Horowitz'],[119107],0.468,0.0184,0.235,59.38,-27.785,1,10,0.992,0.912,0.103,0.0447,0,158973,0,1928,1928,"Humoreske, Op. *** *****",Unknown,17.0
95319,['Vladimir Horowitz'],[119107],0.366,0.208,0.0657,140.356,-16.984,0,3,0.993,0.879,0.747,0.041,0,190573,8,1930,1930,"Valses oubliées: No. * in F-Sharp Major, S. *****",Unknown,17.0
38910,['Hariprasad Chaurasia'],[530569],0.385,0.528,0.279,98.489,-16.205,1,7,0.729,0.462,0.0823,0.0443,0,1269493,38,1974,1/1/1974,Raga Jhinjhoti in Rupak Tal (7 beats) and Tintal *** beats),Unknown,17.0
97192,['Wim Mertens'],[502854],0.598,0.18,0.233,107.935,-16.183,1,4,0.983,0.9,0.11,0.0311,0,202710,45,1987,1/1/1987,Close Cover,Unknown,17.0
46149,['John Williams'],[1535255],0.138,0.235,0.0947,78.092,-16.787,1,0,0.935,0.712,0.109,0.0403,0,227200,27,1983,11/3/1983,E.T.: Flying Theme,Unknown,17.0
20450,['Childish Gambino'],[2487188],0.546,0.695,0.182,79.932,-6.374,1,7,0.011,0.0,0.0713,0.0454,1,219840,55,2011,11/15/2011,Sunrise,Unknown,17.0
46036,['John Williams'],[1535255],0.11,0.173,0.0518,86.427,-17.673,0,2,0.773,0.924,0.16,0.0372,0,645493,39,2002,4/23/2002,Confrontation with Count Dooku and Finale,Unknown,17.0
564,"[""Sergio Mendes & Brasil '66""]",[5056],0.581,0.424,0.742,128.075,-16.922,1,8,0.74,1.85e-06,0.0804,0.0319,0,190133,29,1970,1/1/1970,***** And Day,Unknown,17.0
76502,['Sleeping with Sirens'],[2397840],0.385,0.979,0.471,170.0,-2.621,1,4,0.000643,0.0,0.396,0.152,0,227600,51,2013,5/31/2013,Alone (feat. MGK),Unknown,17.0
95184,['Vladimir Horowitz'],[119107],0.333,0.0278,0.0591,95.695,-27.095,0,10,0.995,0.898,0.126,0.0454,0,221160,1,1951,1951,"Etude in A-Flat Major, Op. 8, No. 8: Lento - Tempo rubato - Remastered",Unknown,17.0
78629,['Steve Green'],[34402],0.422,0.23,0.153,62.789,-15.006,1,7,0.772,0.0,0.134,0.0338,0,282293,40,1988,1/1/1988,Find Us Faithful,Unknown,17.0
75831,['Sibylle Baier'],[1506991],0.632,0.14,0.146,117.496,-14.665,1,8,0.968,0.00222,0.112,0.0355,0,208107,49,2006,1/1/2006,I Lost ********* in the Hills,Unknown,17.0
95244,['Vladimir Horowitz'],[119107],0.349,0.326,0.168,80.233,-15.347,1,1,0.987,0.886,0.784,0.0551,0,541600,47,1930,1930,"********* Rhapsody No. * in C-Sharp Minor, S. *****",Unknown,17.0
51524,['Lard'],[780616],0.293,0.998,0.253,197.561,-6.453,1,9,0.000222,0.00255,0.331,0.0854,0,233627,39,1990,1990,Forkboy,Unknown,17.0
95408,['Vladimir Horowitz'],[119107],0.406,0.123,0.681,116.751,-22.373,1,1,0.982,0.897,0.184,0.04,0,95667,0,1928,1928,"Étude in G-Flat Major, Op. *** No. 5",Unknown,17.0
95297,['Vladimir Horowitz'],[119107],0.271,0.0428,0.139,84.237,-28.673,0,6,0.994,0.867,0.0854,0.0398,0,233000,0,1928,1928,"Sonata, Op. *** No. * in F-Sharp Minor: I. Piuttosto allegro con espressione",Unknown,17.0
95628,['Vladimir Horowitz'],[119107],0.317,0.0394,0.102,75.465,-23.382,0,10,0.994,0.925,0.0929,0.04,0,483027,0,1928,1928,"Concerto Without Orchestra (Grand Sonata No. 3 in F Minor, Op. **** I. Allegro brillante",Unknown,17.0
45954,['John Williams'],[1535255],0.351,0.0767,0.146,73.844,-21.396,1,2,0.99,0.341,0.0783,0.0335,0,63973,35,1990,1990,********* in My Memory - Chorus & Orchestra Version,Unknown,17.0
2024,['Nobuo Uematsu'],[431669],0.163,0.927,0.671,84.013,-10.776,0,9,0.0431,0.949,0.309,0.0396,0,212973,45,1997,2/10/1997,Fight On!,Unknown,17.0
37712,['Grandpa Jones'],[660246],0.58,0.669,0.97,139.401,-9.016,1,9,0.746,0.000513,0.216,0.0311,0,117373,35,1969,1/1/1969,Mountain Dew,Unknown,17.0
10919,['Bebe Rexha'],[2992951],0.683,0.53,0.645,75.016,-4.918,0,5,0.207,0.0,0.394,0.142,1,190428,72,2017,7/21/2017,Back to You (feat. Bebe Rexha & Digital Farm Animals),Unknown,17.0
8963,['Art Blakey & the Jazz Messengers'],[597266],0.513,0.439,0.735,120.417,-12.816,1,5,0.603,8.83e-05,0.0976,0.0483,0,333493,22,1956,1956,It's You or No One,Unknown,17.0
9189,['Arthur Verocai'],[610730],0.576,0.344,0.331,102.033,-12.868,0,4,0.754,0.0185,0.0783,0.0312,0,138640,32,1972,1972,Velho parente,Unknown,17.0
43924,['Jimmy Dean'],[352992],0.679,0.507,0.978,178.585,-14.368,1,9,0.554,0.0,0.0615,0.0445,0,116040,12,1961,1/1/1961,Make the Waterwheel Roll,Unknown,17.0
