,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
84340,['The Chordettes'],[763551],0.316,0.025,0.0386,93.428,-16.587,0,3,0.983,0.0,0.0742,0.0379,0,151800,4,1950,5/15/1950,When Day Is Done,,R&B;,5.0
84341,['The Chordettes'],[763551],0.679,0.0538,0.0857,103.846,-15.297,1,0,0.991,0.0,0.212,0.0988,0,154400,3,1950,5/15/1950,Ballin' the ****,,R&B;,5.0
84342,['The Chordettes'],[763551],0.372,0.022,0.0646,85.819,-17.19,1,3,0.972,0.0,0.185,0.0391,0,133627,4,1950,5/15/1950,Carry Me Back to Old ********,,R&B;,5.0
84343,['The Chordettes'],[763551],0.188,0.0327,0.0394,84.861,-18.114,1,7,0.977,0.0,0.311,0.0316,0,142600,4,1950,5/15/1950,Tell Me Why,,R&B;,5.0
84327,['The Chordettes'],[763551],0.216,0.0135,0.0387,73.346,-21.306,1,7,0.969,0.0,0.127,0.0336,0,180133,15,1951,4/9/1951,The World Is Waiting for the Sunrise,,R&B;,5.0
84349,['The Chordettes'],[763551],0.303,0.018,0.0542,88.574,-20.201,1,11,0.975,0.0,0.32,0.0348,0,162760,3,1951,4/9/1951,Let the Rest of the World Go By,,R&B;,5.0
84350,['The Chordettes'],[763551],0.323,0.0173,0.0342,80.001,-17.994,1,5,0.978,0.0,0.193,0.0342,0,172400,3,1951,4/9/1951,Love Me and the World Is Mine,,R&B;,5.0
84358,['The Chordettes'],[763551],0.613,0.0524,0.217,70.802,-17.375,1,5,0.975,0.0,0.506,0.0815,0,104027,4,1951,4/9/1951,Runnin' Wild - 78rpm Version,,R&B;,5.0
84359,['The Chordettes'],[763551],0.285,0.026,0.0353,90.367,-19.113,1,11,0.956,0.0,0.209,0.0489,0,189027,2,1951,4/9/1951,********* That's All,,R&B;,5.0
84360,['The Chordettes'],[763551],0.338,0.0178,0.0605,161.614,-19.8,0,5,0.985,0.0,0.101,0.0459,0,163227,3,1951,4/9/1951,Alice **** Gown,,R&B;,5.0
84361,['The Chordettes'],[763551],0.373,0.0375,0.058,105.729,-20.113,1,2,0.966,0.0,0.252,0.0375,0,154907,3,1951,4/9/1951,Love's Old Sweet Song,,R&B;,5.0
84328,['The Chordettes'],[763551],0.326,0.102,0.0412,91.569,-14.593,1,3,0.987,0.0,0.243,0.0349,0,135440,16,1952,8/22/1952,Carolina Moon,,R&B;,5.0
84329,['The Chordettes'],[763551],0.371,0.0321,0.0594,85.281,-19.143,0,6,0.982,0.0,0.136,0.039,0,112240,16,1952,8/22/1952,The Anniversary Waltz,,R&B;,5.0
84332,['The Chordettes'],[763551],0.245,0.0519,0.0379,166.347,-18.504,1,7,0.966,0.0,0.285,0.0366,0,132200,13,1952,8/22/1952,Kentucky Babe,,R&B;,5.0
84333,['The Chordettes'],[763551],0.417,0.0587,0.111,162.362,-15.71,0,6,0.98,0.0,0.13,0.0707,0,103333,6,1952,8/22/1952,Garden In the Rain,,R&B;,5.0
84334,['The Chordettes'],[763551],0.298,0.00736,0.0392,83.04,-21.881,1,1,0.991,0.0,0.12,0.0387,0,132360,9,1952,8/22/1952,I'm Drifting Back to Dreamland,,R&B;,5.0
84335,['The Chordettes'],[763551],0.234,0.0426,0.096,75.719,-16.625,1,5,0.98,0.0,0.239,0.032,0,97467,8,1952,8/22/1952,Drifting and Dreaming,,R&B;,5.0
84344,['The Chordettes'],[763551],0.652,0.139,0.308,137.491,-13.16,1,5,0.972,0.0,0.147,0.114,0,115400,4,1952,8/22/1952,Floatin' Down to Cotton Town,,R&B;,5.0
84345,['The Chordettes'],[763551],0.607,0.0248,0.139,85.51,-16.595,1,9,0.99,0.0,0.225,0.0536,0,116333,4,1952,8/22/1952,Basin Street *****,,R&B;,5.0
84346,['The Chordettes'],[763551],0.256,0.0254,0.0392,84.934,-20.048,0,4,0.988,0.0,0.195,0.0337,0,142533,5,1952,8/22/1952,The Sweetheart of Sigma Chi,,R&B;,5.0
84347,['The Chordettes'],[763551],0.314,0.0134,0.0816,71.343,-20.87,1,0,0.984,0.0,0.086,0.0382,0,133467,3,1952,8/22/1952,A Little Street Where Old Friends Meet,,R&B;,5.0
84351,['The Chordettes'],[763551],0.393,0.0111,0.0989,85.655,-17.347,0,2,0.962,0.0,0.16,0.0452,0,102440,4,1952,8/22/1952,In The Sweet Long Ago,,R&B;,5.0
84352,['The Chordettes'],[763551],0.55,0.0186,0.232,81.75,-19.082,1,10,0.99,0.0,0.136,0.0787,0,100427,4,1952,8/22/1952,Angry,,R&B;,5.0
84353,['The Chordettes'],[763551],0.41,0.027,0.113,76.67,-20.634,1,4,0.981,0.0,0.093,0.0324,0,125240,4,1952,8/22/1952,Sentimental Journey,,R&B;,5.0
73702,['Rufus Thomas'],[303050],0.682,0.707,0.632,127.025,-8.263,0,11,0.885,0.00988,0.124,0.0557,0,167065,8,1953,1/1/1953,Tiger Man (King of the Jungle),,R&B;,5.0
73704,['Rufus Thomas'],[303050],0.391,0.415,0.585,83.881,-9.163,1,0,0.96,0.00457,0.305,0.0351,0,161850,4,1953,1/1/1953,Save That Money,,R&B;,5.0
73705,['Rufus Thomas'],[303050],0.564,0.45,0.817,85.41,-8.746,1,4,0.734,5.92e-06,0.428,0.211,0,170058,4,1953,1/1/1953,Bear Cat,,R&B;,5.0
73706,['Rufus Thomas'],[303050],0.458,0.172,0.352,168.342,-12.758,1,3,0.992,4.02e-06,0.178,0.0412,0,141402,1,1953,1/1/1953,Walkin' in the Rain,,R&B;,5.0
85500,['The Drifters'],[118544],0.578,0.182,0.477,127.374,-10.424,1,8,0.825,5e-06,0.144,0.0445,0,158533,32,1954,1954,White Christmas,,R&B;,5.0
85504,['The Drifters'],[118544],0.322,0.205,0.248,73.116,-10.089,1,2,0.912,0.0,0.0305,0.0376,0,160640,25,1954,1954,The Bells of St. Mary's - 45 Version,,R&B;,5.0
43138,['Jesse Belvin'],[333175],0.468,0.215,0.417,72.11,-9.204,0,2,0.962,0.73,0.102,0.0269,0,176787,1,1954,4/1/1954,I'm Only a Fool,,R&B;,5.0
84324,['The Chordettes'],[763551],0.568,0.0847,0.309,91.028,-15.869,1,7,0.968,0.0,0.588,0.122,0,102000,47,1954,4/5/1954,****** Ma Baby,,R&B;,5.0
84348,['The Chordettes'],[763551],0.406,0.0116,0.0562,105.273,-21.703,1,3,0.992,0.0,0.321,0.0519,0,142067,15,1954,4/5/1954,They Say It's Wonderful,,R&B;,5.0
84354,['The Chordettes'],[763551],0.24,0.00804,0.0385,197.867,-21.564,1,3,0.99,0.0,0.209,0.0484,0,147427,14,1954,4/5/1954,Wonderful One,,R&B;,5.0
84355,['The Chordettes'],[763551],0.313,0.0248,0.143,81.509,-19.08,1,10,0.991,0.0,0.121,0.0442,0,136307,13,1954,4/5/1954,I Believe,,R&B;,5.0
84362,['The Chordettes'],[763551],0.624,0.0529,0.266,115.034,-18.176,1,10,0.99,0.0,0.543,0.15,0,98067,9,1954,4/5/1954,Down Among the ********** Palms,,R&B;,5.0
84363,['The Chordettes'],[763551],0.61,0.0134,0.27,79.83,-18.513,1,5,0.986,0.0,0.234,0.0707,0,155333,9,1954,4/5/1954,"Wait 'Till the Sun Shines, Nellie",,R&B;,5.0
84364,['The Chordettes'],[763551],0.523,0.0185,0.117,134.851,-23.813,1,3,0.991,0.0,0.104,0.0558,0,145800,8,1954,4/5/1954,For Me and My ****,,R&B;,5.0
84365,['The Chordettes'],[763551],0.306,0.0125,0.0517,81.08,-23.29,1,4,0.989,0.0,0.327,0.0372,0,170960,7,1954,4/5/1954,I Wonder Who's Kissing Her Now,,R&B;,5.0
84367,['The Chordettes'],[763551],0.625,0.0121,0.109,113.376,-20.1,1,6,0.988,0.0,0.266,0.058,0,154000,8,1954,4/5/1954,(When It's) Darkness On the Delta,,R&B;,5.0
8227,['Anthony Lewis'],[3268224],0.535,0.0775,0.112,95.306,-18.822,1,2,0.973,0.0,0.12,0.128,0,239307,0,1955,1/1/1955,"Sosarme, HWV 30 / Act ** Recit: Amici, troppo oscuro torpe il valor nascosto",,R&B;,5.0
8228,['Anthony Lewis'],[3268224],0.538,0.0871,0.29,74.871,-23.41,1,7,0.975,0.0,0.27,0.328,0,58773,0,1955,1/1/1955,"Sosarme, HWV 30 / Act ** Recit: Giusti numi",,R&B;,5.0
8229,['Anthony Lewis'],[3268224],0.419,0.117,0.688,142.832,-20.348,1,10,0.957,0.233,0.089,0.0469,0,105747,0,1955,1/1/1955,"Sosarme, HWV 30 / Act 3: Aria: M'opporr貌 da generoso all'indegna orrida",,R&B;,5.0
8230,['Anthony Lewis'],[3268224],0.126,0.159,0.462,84.275,-17.764,1,5,0.963,0.29,0.321,0.0352,0,248653,0,1955,1/1/1955,"Sosarme, HWV 30 / Act 3: Chorus: Dopo l'ire s矛 funeste dell'amore splenda",,R&B;,5.0
8231,['Anthony Lewis'],[3268224],0.515,0.0624,0.198,127.076,-22.088,0,7,0.969,0.0,0.101,0.162,0,189467,0,1955,1/1/1955,"Sosarme, HWV 30 / Act ** La pace sdegnerai?",,R&B;,5.0
84589,['The Clovers'],[75171],0.758,0.453,0.714,133.989,-11.145,0,6,0.816,0.0,0.28,0.0503,0,176360,11,1956,1956,Little Mama,,R&B;,5.0
84590,['The Clovers'],[75171],0.69,0.194,0.863,107.082,-14.331,1,5,0.684,0.0,0.337,0.0353,0,186067,10,1956,1956,Ting-A-Ling,,R&B;,5.0
84593,['The Clovers'],[75171],0.468,0.182,0.352,76.331,-15.364,1,4,0.88,0.0,0.189,0.0307,0,173373,9,1956,1956,I Played the Fool,,R&B;,5.0
84594,['The Clovers'],[75171],0.709,0.341,0.716,120.693,-11.984,1,3,0.645,0.0,0.0754,0.0681,0,155467,7,1956,1956,Crawlin',,R&B;,5.0
84595,['The Clovers'],[75171],0.494,0.159,0.511,78.612,-15.11,0,8,0.861,6.66e-05,0.25,0.0327,0,166267,7,1956,1956,Yes It's You,,R&B;,5.0
84598,['The Clovers'],[75171],0.696,0.493,0.96,133.329,-10.1,1,3,0.449,0.0,0.0867,0.0443,0,149573,6,1956,1956,I've Got My Eyes on You,,R&B;,5.0
84600,['The Clovers'],[75171],0.546,0.224,0.729,90.321,-15.013,1,7,0.43,0.0,0.14,0.0326,0,183027,6,1956,1956,Middle of the *****,,R&B;,5.0
84602,['The Clovers'],[75171],0.668,0.239,0.719,106.937,-13.181,1,5,0.871,0.0,0.299,0.0332,0,146933,41,1956,1956,Devil or Angel,,R&B;,5.0
84604,['The Clovers'],[75171],0.338,0.046,0.296,197.073,-20.395,0,10,0.956,3.47e-06,0.114,0.0363,0,157573,24,1956,1956,**** Velvet,,R&B;,5.0
84605,['The Clovers'],[75171],0.646,0.291,0.932,165.006,-12.199,1,1,0.762,0.0,0.0838,0.0431,0,146533,23,1956,1956,"Hey, Miss Fannie",,R&B;,5.0
84606,['The Clovers'],[75171],0.758,0.3,0.771,109.331,-12.514,1,0,0.892,1.82e-05,0.161,0.0462,0,164360,18,1956,1956,Lovey Dovey,,R&B;,5.0
84607,['The Clovers'],[75171],0.592,0.524,0.954,171.232,-14.939,1,6,0.827,0.0,0.0844,0.0893,0,125373,17,1956,1956,Love Love Love,,R&B;,5.0
84609,['The Clovers'],[75171],0.595,0.241,0.709,116.983,-15.97,1,5,0.814,5.14e-05,0.0959,0.0381,0,186400,13,1956,1956,Don't You Know I Love You,,R&B;,5.0
52114,['LaVern Baker'],[778344],0.7,0.436,0.963,187.193,-8.564,1,8,0.669,0.0,0.0716,0.0587,0,145880,8,1956,1956,Lots and Lots of Love,,R&B;,5.0
52118,['LaVern Baker'],[778344],0.631,0.238,0.534,108.773,-6.253,1,0,0.899,8.22e-06,0.24,0.0352,0,173560,3,1956,1956,I'm in a Crying Mood,,R&B;,5.0
52119,['LaVern Baker'],[778344],0.458,0.198,0.21,173.669,-9.138,0,9,0.924,0.0,0.101,0.044,0,179213,3,1956,1956,You'll Be Crying,,R&B;,5.0
52127,['LaVern Baker'],[778344],0.753,0.301,0.657,72.952,-9.117,1,1,0.907,2.63e-06,0.11,0.0359,0,142147,16,1956,1956,I'll Never Be Free,,R&B;,5.0
88074,['The Platters'],[894335],0.315,0.23,0.24,77.3,-9.822,0,7,0.968,0.00241,0.0899,0.0268,0,173893,10,1956,11/6/1956,September In The Rain,,R&B;,5.0
88076,['The Platters'],[894335],0.711,0.304,0.704,89.143,-10.351,1,5,0.904,4.64e-06,0.325,0.034,0,135533,13,1956,11/6/1956,I Don't Know Why,,R&B;,5.0
88090,['The Platters'],[894335],0.465,0.296,0.366,121.986,-10.204,1,5,0.923,0.000678,0.199,0.0332,0,114920,12,1956,11/6/1956,Temptation,,R&B;,5.0
88102,['The Platters'],[894335],0.461,0.348,0.498,143.167,-9.313,1,1,0.883,0.000177,0.164,0.0263,0,149040,6,1956,11/6/1956,In The Still Of The *****,,R&B;,5.0
88105,['The Platters'],[894335],0.359,0.272,0.254,109.249,-8.393,1,10,0.812,0.0,0.095,0.0294,0,167800,51,1956,9/10/1956,My Prayer,,R&B;,5.0
88111,['The Platters'],[894335],0.505,0.315,0.686,75.243,-8.528,1,3,0.736,0.0,0.0855,0.0265,0,156160,35,1956,9/10/1956,Heaven On Earth,,R&B;,5.0
88112,['The Platters'],[894335],0.483,0.276,0.361,109.508,-8.708,1,0,0.901,0.0,0.11,0.0328,0,175240,36,1956,9/10/1956,I'm Sorry,,R&B;,5.0
88115,['The Platters'],[894335],0.427,0.265,0.523,78.813,-11.296,1,5,0.847,0.0,0.416,0.03,0,167627,30,1956,9/10/1956,The Glory Of Love,,R&B;,5.0
88119,['The Platters'],[894335],0.401,0.231,0.532,86.675,-9.336,1,3,0.843,0.0,0.152,0.031,0,174667,29,1956,9/10/1956,"Bewitched, Bothered And Bewildered",,R&B;,5.0
88120,['The Platters'],[894335],0.505,0.351,0.605,100.077,-9.826,0,7,0.882,1.82e-06,0.0909,0.0245,0,135333,27,1956,11/6/1956,I Give You My Word,,R&B;,5.0
88121,['The Platters'],[894335],0.445,0.259,0.476,114.461,-10.346,1,3,0.812,0.0,0.211,0.0339,0,171467,26,1956,9/10/1956,At Your Beck And ****,,R&B;,5.0
88135,['The Platters'],[894335],0.442,0.188,0.534,122.532,-11.603,1,5,0.831,0.0,0.0667,0.0324,0,152067,19,1956,9/10/1956,Remember When - Single Version,,R&B;,5.0
88138,['The Platters'],[894335],0.456,0.369,0.46,78.55,-7.455,1,7,0.868,0.0,0.0673,0.0271,0,164960,16,1956,9/10/1956,******* To Watch Over Me,,R&B;,5.0
88139,['The Platters'],[894335],0.322,0.306,0.443,81.647,-9.847,0,0,0.871,0.0,0.175,0.0287,0,149000,15,1956,11/6/1956,You've Changed,,R&B;,5.0
88140,['The Platters'],[894335],0.52,0.27,0.524,81.42,-8.666,1,7,0.863,0.0,0.09,0.0282,0,184133,16,1956,9/10/1956,Why Should I,,R&B;,5.0
88142,['The Platters'],[894335],0.517,0.399,0.489,116.533,-7.273,1,4,0.858,0.0,0.348,0.0296,0,165440,15,1956,9/10/1956,On My Word Of Honor,,R&B;,5.0
88143,['The Platters'],[894335],0.469,0.737,0.97,154.776,-7.802,1,5,0.819,0.0,0.277,0.0313,0,172533,17,1956,9/10/1956,I Wanna,,R&B;,5.0
88144,['The Platters'],[894335],0.399,0.194,0.213,106.461,-9.947,1,11,0.895,0.0,0.169,0.0357,0,171733,16,1956,9/10/1956,Have Mercy,,R&B;,5.0
8818,['Aretha Franklin'],[927555],0.304,0.317,0.407,163.793,-7.75,1,7,0.971,0.00385,0.109,0.0377,0,205173,22,1956,1/1/1956,Precious Lord - Pt. * / ***************,,R&B;,5.0
8819,['Aretha Franklin'],[927555],0.304,0.232,0.219,75.626,-11.07,1,7,0.984,0.13,0.197,0.0366,0,173133,20,1956,1/1/1956,Precious Lord - Pt. * / ***************,,R&B;,5.0
8829,['Aretha Franklin'],[927555],0.295,0.269,0.171,135.573,-8.606,1,10,0.98,0.121,0.364,0.0318,0,267147,19,1956,1/1/1956,There Is A Fountain Filled With Blood - ***************,,R&B;,5.0
8835,['Aretha Franklin'],[927555],0.565,0.322,0.52,106.554,-7.324,1,0,0.98,0.000418,0.13,0.0329,0,185240,17,1956,1/1/1956,While The Blood Runs Warm - ***************,,R&B;,5.0
8846,['Aretha Franklin'],[927555],0.184,0.298,0.127,77.533,-8.236,1,10,0.965,0.0355,0.138,0.0319,0,297027,16,1956,1/1/1956,The Day Is Past And Gone - ***************,,R&B;,5.0
8847,['Aretha Franklin'],[927555],0.484,0.222,0.294,141.219,-9.754,1,0,0.98,2.85e-05,0.112,0.0398,0,176787,15,1956,1/1/1956,Yield Not To Temptation - ***************,,R&B;,5.0
8861,['Aretha Franklin'],[927555],0.509,0.531,0.608,108.822,-5.775,1,0,0.986,6.35e-05,0.137,0.0334,0,259507,12,1956,1/1/1956,He Will Wash You White As Snow - ***************,,R&B;,5.0
8882,['Aretha Franklin'],[927555],0.354,0.352,0.456,73.654,-7.537,1,7,0.994,0.17,0.257,0.0289,0,162760,12,1956,1/1/1956,You Grow Closer - ***************,,R&B;,5.0
8883,['Aretha Franklin'],[927555],0.23,0.385,0.412,86.767,-5.744,1,1,0.981,0.00493,0.147,0.0305,0,176187,12,1956,1/1/1956,Never Grow Old - ***************,,R&B;,5.0
71091,['Ray Charles'],[46861],0.556,0.61,0.665,199.373,-4.729,1,9,0.833,2.22e-06,0.258,0.213,0,171467,67,1957,1/1/1957,I've Got a Woman,,R&B;,5.0
71092,['Ray Charles'],[46861],0.696,0.547,0.623,73.203,-5.954,0,5,0.792,0.0,0.155,0.169,0,155507,62,1957,1/1/1957,"Hallelujah, I Love Her So",,R&B;,5.0
71093,['Ray Charles'],[46861],0.565,0.962,0.906,148.808,-2.981,1,8,0.437,0.0,0.056,0.064,0,160227,58,1957,1/1/1957,Mess Around,,R&B;,5.0
71094,['Ray Charles'],[46861],0.535,0.177,0.404,134.764,-11.311,1,1,0.861,1.97e-06,0.11,0.0384,0,201866,49,1957,1/1/1957,Drown in My Own Tears,,R&B;,5.0
71095,['Ray Charles'],[46861],0.618,0.528,0.892,145.971,-9.173,1,5,0.808,0.000163,0.112,0.052,0,167947,43,1957,1/1/1957,Mary Ann,,R&B;,5.0
71100,['Ray Charles'],[46861],0.584,0.11,0.369,129.765,-12.535,1,3,0.907,2.81e-06,0.113,0.0376,0,186640,43,1957,1/1/1957,Come Back Baby,,R&B;,5.0
71101,['Ray Charles'],[46861],0.751,0.467,0.774,118.11,-9.535,1,10,0.305,0.0,0.163,0.327,0,173906,38,1957,1/1/1957,Ain't That Love,,R&B;,5.0
71102,['Ray Charles'],[46861],0.627,0.245,0.553,132.16,-7.318,1,10,0.825,0.00171,0.0758,0.0339,0,182760,35,1957,1/1/1957,A Fool for You,,R&B;,5.0
71115,['Ray Charles'],[46861],0.452,0.358,0.627,66.525,-11.184,1,9,0.8,9.87e-06,0.328,0.0507,0,206333,34,1957,1/1/1957,Sinner's Prayer,,R&B;,5.0
71116,['Ray Charles'],[46861],0.483,0.187,0.338,179.031,-13.886,1,3,0.905,4.04e-06,0.122,0.0439,0,197173,32,1957,1/1/1957,Funny (But I Still Love You),,R&B;,5.0
71117,['Ray Charles'],[46861],0.725,0.345,0.795,96.636,-10.856,1,1,0.846,3.87e-06,0.146,0.144,0,154733,32,1957,1/1/1957,This Little **** of Mine,,R&B;,5.0
71121,['Ray Charles'],[46861],0.478,0.22,0.435,94.793,-10.021,0,0,0.795,2.38e-06,0.106,0.0341,0,191413,32,1957,1/1/1957,Losing ****,,R&B;,5.0
71122,['Ray Charles'],[46861],0.719,0.144,0.743,120.221,-12.496,1,0,0.854,0.0,0.0876,0.113,0,177467,32,1957,1/1/1957,Don't You Know,,R&B;,5.0
71123,['Ray Charles'],[46861],0.638,0.308,0.672,163.956,-13.874,1,1,0.844,0.0,0.159,0.471,0,171600,31,1957,1/1/1957,Greenbacks,,R&B;,5.0
84050,['The Cadillacs'],[636044],0.577,0.46,0.736,142.252,-11.327,0,7,0.586,0.0,0.174,0.062,0,139053,8,1957,1957,Rudolph the Red Nosed Reindeer - 45 Version,,R&B;,5.0
84051,['The Cadillacs'],[636044],0.592,0.404,0.758,132.195,-7.679,0,2,0.899,0.0,0.195,0.0524,0,147627,8,1957,1957,Down the Road,,R&B;,5.0
84052,['The Cadillacs'],[636044],0.515,0.614,0.732,112.642,-9.089,1,3,0.81,1.12e-05,0.328,0.0361,0,175293,6,1957,1957,Woe Is Me,,R&B;,5.0
84054,['The Cadillacs'],[636044],0.591,0.865,0.924,140.18,-9.669,0,0,0.771,4.04e-05,0.0967,0.0532,0,140173,6,1957,1957,Sugar Sugar,,R&B;,5.0
84055,['The Cadillacs'],[636044],0.279,0.227,0.292,75.967,-12.209,1,8,0.987,0.000106,0.16,0.0589,0,146133,6,1957,1957,You Are,,R&B;,5.0
84056,['The Cadillacs'],[636044],0.436,0.471,0.803,122.3,-9.138,1,3,0.823,1.83e-06,0.356,0.0581,0,152960,5,1957,1957,That's All I Need,,R&B;,5.0
84057,['The Cadillacs'],[636044],0.582,0.547,0.91,170.078,-8.569,1,8,0.764,0.0,0.136,0.0706,0,160600,5,1957,1957,No Chance,,R&B;,5.0
84059,['The Cadillacs'],[636044],0.285,0.522,0.371,120.093,-8.794,1,3,0.835,8.6e-05,0.0969,0.0454,0,149707,4,1957,1957,Sympathy,,R&B;,5.0
84060,['The Cadillacs'],[636044],0.585,0.527,0.947,126.391,-8.522,1,8,0.825,0.0,0.386,0.0642,0,139067,41,1957,1957,******,,R&B;,5.0
84062,['The Cadillacs'],[636044],0.393,0.514,0.695,88.568,-9.066,1,7,0.765,7.33e-06,0.554,0.0401,0,149733,13,1957,1957,The **** I Love,,R&B;,5.0
84063,['The Cadillacs'],[636044],0.633,0.422,0.91,94.229,-6.262,1,7,0.794,1.36e-06,0.753,0.0329,0,127867,12,1957,1957,I Wonder Why ?,,R&B;,5.0
84064,['The Cadillacs'],[636044],0.637,0.516,0.91,144.588,-6.087,1,8,0.782,0.0,0.152,0.0671,0,141000,11,1957,1957,Zoom,,R&B;,5.0
84318,['The Chordettes'],[763551],0.651,0.222,0.592,127.039,-14.926,1,11,0.824,0.0,0.122,0.0329,0,158667,13,1957,1957,Come Home To My Arms,,R&B;,5.0
84319,['The Chordettes'],[763551],0.353,0.235,0.477,65.664,-14.654,1,7,0.732,0.0,0.114,0.0287,0,136733,10,1957,1957,Teen Age ********* - **** #45 Billboard chart hit,,R&B;,5.0
84320,['The Chordettes'],[763551],0.358,0.151,0.07,103.153,-15.864,1,2,0.903,0.0,0.057,0.0301,0,143133,9,1957,1957,Echo Of Love,,R&B;,5.0
84321,['The Chordettes'],[763551],0.771,0.418,0.753,121.153,-12.365,1,1,0.801,0.0,0.236,0.0361,0,149333,9,1957,1957,Lay Down Your Arms - **** *** Billboard chart hit,,R&B;,5.0
84322,['The Chordettes'],[763551],0.641,0.233,0.577,101.734,-11.031,1,5,0.947,7.37e-06,0.143,0.031,0,133120,10,1957,1957,Like A Baby,,R&B;,5.0
84325,['The Chordettes'],[763551],0.623,0.315,0.625,110.38,-12.321,1,9,0.709,0.0,0.0874,0.0475,0,143133,56,1957,1957,Mr. Sandman - **** ** Billboard chart hit,,R&B;,5.0
84326,['The Chordettes'],[763551],0.551,0.0842,0.438,71.55,-15.753,1,9,0.808,0.0,0.147,0.0296,0,135067,49,1957,1957,Eddie My Love - **** *** Billboard chart hit,,R&B;,5.0
84356,['The Chordettes'],[763551],0.497,0.166,0.284,82.001,-14.991,1,1,0.906,0.000344,0.155,0.0428,0,169027,21,1957,1957,Born To Be With You - **** #5 Billboard chart hit,,R&B;,5.0
84368,['The Chordettes'],[763551],0.242,0.191,0.117,177.512,-15.75,1,10,0.98,1.6e-06,0.0946,0.031,0,155107,17,1957,1957,Soft Sands - **** #73 Billboard chart hit,,R&B;,5.0
84369,['The Chordettes'],[763551],0.663,0.0815,0.217,95.493,-14.503,1,7,0.806,0.0,0.0948,0.0356,0,127600,16,1957,1957,Love Never Changes,,R&B;,5.0
84370,['The Chordettes'],[763551],0.688,0.276,0.49,95.945,-12.144,1,4,0.789,0.0,0.135,0.031,0,137160,16,1957,1957,Humming Bird,,R&B;,5.0
